,summary,Freizeit,Klima,Emotion,Wohnen,Soziales,Infrastruktur,word
Pommes,2.8722852434913495,0.38579888740863405,-0.27008829629793357,-0.2116964606809855,-0.3348473056720948,-0.10351577823987977,-0.08208000363452793,Pommes
bratwurst pommes,2.8722852434913495,0.38579888740863405,-0.27008829629793357,-0.2116964606809855,-0.3348473056720948,-0.10351577823987977,-0.08208000363452793,bratwurst pommes
pommes auf,3.07015931161773,0.4537251116264891,-0.33670978456714046,-0.2783179489501923,-0.4014687939413017,-0.1701372665090866,-0.1487014919037348,pommes auf
auf weihnachtsmarkt,3.6864560333392435,0.6015967642787541,-0.5196459032592724,-0.4612540676423243,-0.5844049126334337,-0.3530733852012188,-0.33163761059586677,auf weihnachtsmarkt
weihnachtsmarkt wohl,4.080513393407226,0.6656302884323689,-0.6212031434967215,-0.5628113078797733,-0.6859621528708828,-0.45463062543866767,-0.4331948508333157,weihnachtsmarkt wohl
Schleckermaul,2.674092526607709,0.30151840939053365,-0.19859041168195188,-0.14019857606500374,-0.2633494210561133,-0.032017893623898064,-0.010582119018546254,Schleckermaul
wohl schleckermaul,2.674092526607709,0.30151840939053365,-0.19859041168195188,-0.14019857606500374,-0.2633494210561133,-0.032017893623898064,-0.010582119018546254,wohl schleckermaul
Leckeres,2.578470866992489,0.2531055169114275,-0.16217686729215686,-0.10378503167520878,-0.22693587666631818,0.004395650765896896,0.02583142537124884,Leckeres
schleckermaul lecker,2.578470866992489,0.2531055169114275,-0.16217686729215686,-0.10378503167520878,-0.22693587666631818,0.004395650765896896,0.02583142537124884,schleckermaul lecker
lecker dabei,2.549672746863703,0.23731338643133018,-0.15094534765083678,-0.09255351203388851,-0.21570435702499793,0.01562717040721712,0.03706294501256896,lecker dabei
natürlich,2.521251474223438,0.22111722471011733,-0.13973572628471548,-0.08134389066776725,-0.20449473565887677,0.026836791773338323,0.04827256637869026,natürlich
und natürlich,2.521251474223438,0.22111722471011733,-0.13973572628471548,-0.08134389066776725,-0.20449473565887677,0.026836791773338323,0.04827256637869026,und natürlich
natürlich ganz,2.4709763392465134,0.19086113183355016,-0.11959368286421584,-0.06120184724726751,-0.184352692238377,0.04697883519383801,0.06841460979919003,natürlich ganz
besondere,3.5088224027486814,0.5663154969683263,-0.470260814672741,-0.41186897905579295,-0.5350198240469023,-0.3036882966146873,-0.2822525220093353,besondere
ganz besonderer,2.463702729928993,0.18630272069776982,-0.116645724351356,-0.05825388873440771,-0.1814047337255173,0.04992679370669778,0.07136256831204982,ganz besonderer
besonderer zeit,2.450505559715817,0.17790872163446486,-0.11127468545297155,-0.05288284983602344,-0.17603369482713277,0.05529783260508219,0.07673360721043403,besonderer zeit
zeit jahr,2.441050724319053,0.1717950166520643,-0.10740890261315833,-0.04901706699621029,-0.17216791198731982,0.05916361544489522,0.08059939005024723,zeit jahr
vollen,2.4324207979854062,0.1661400478819737,-0.10386730590349802,-0.04547547028654992,-0.16862631527765926,0.06270521215455566,0.08414098675990772,vollen
jahr voll,2.4324207979854062,0.1661400478819737,-0.10386730590349802,-0.04547547028654992,-0.16862631527765926,0.06270521215455566,0.08414098675990772,jahr voll
+2494,2.422621950367832,0.15963080435982688,-0.09983073550418885,-0.041438899887240845,-0.16458974487835018,0.066741782553865,0.08817755715921671,+2494
voll +2494,2.422621950367832,0.15963080435982688,-0.09983073550418885,-0.041438899887240845,-0.16458974487835018,0.066741782553865,0.08817755715921671,voll +2494
